date,date_mm_dd,block,tunnel,trt,infected_canes
2018-02-13,02-13,1,2-row,blade,6
2018-02-13,02-13,2,2-row,blade,1
2018-02-13,02-13,3,2-row,blade,4
2018-02-13,02-13,4,2-row,blade,3
2018-02-13,02-13,5,2-row,blade,2
2018-02-13,02-13,1,2-row,control,3
2018-02-13,02-13,2,2-row,control,.
2018-02-13,02-13,3,2-row,control,3
2018-02-13,02-13,4,2-row,control,3
2018-02-13,02-13,5,2-row,control,5
2018-02-13,02-13,1,2-row,manual,5
2018-02-13,02-13,2,2-row,manual,5
2018-02-13,02-13,3,2-row,manual,6
2018-02-13,02-13,4,2-row,manual,3
2018-02-13,02-13,5,2-row,manual,2
2018-02-13,02-13,1,2-row,twine,10
2018-02-13,02-13,2,2-row,twine,5
2018-02-13,02-13,3,2-row,twine,5
2018-02-13,02-13,4,2-row,twine,4
2018-02-13,02-13,5,2-row,twine,4
2018-02-13,02-13,1,3-row,blade,9
2018-02-13,02-13,2,3-row,blade,9
2018-02-13,02-13,3,3-row,blade,4
2018-02-13,02-13,4,3-row,blade,8
2018-02-13,02-13,5,3-row,blade,13
2018-02-13,02-13,1,3-row,control,.
2018-02-13,02-13,2,3-row,control,13
2018-02-13,02-13,3,3-row,control,3
2018-02-13,02-13,4,3-row,control,.
2018-02-13,02-13,5,3-row,control,8
2018-02-13,02-13,1,3-row,manual,7
2018-02-13,02-13,2,3-row,manual,15
2018-02-13,02-13,3,3-row,manual,15
2018-02-13,02-13,4,3-row,manual,3
2018-02-13,02-13,5,3-row,manual,11
2018-02-13,02-13,1,3-row,twine,17
2018-02-13,02-13,2,3-row,twine,5
2018-02-13,02-13,3,3-row,twine,8
2018-02-13,02-13,4,3-row,twine,8
2018-02-13,02-13,5,3-row,twine,18
2018-03-13,03-13,1,2-row,blade,10
2018-03-13,03-13,2,2-row,blade,7
2018-03-13,03-13,3,2-row,blade,7
2018-03-13,03-13,4,2-row,blade,7
2018-03-13,03-13,5,2-row,blade,8
2018-03-13,03-13,1,2-row,control,9
2018-03-13,03-13,2,2-row,control,.
2018-03-13,03-13,3,2-row,control,12
2018-03-13,03-13,4,2-row,control,10
2018-03-13,03-13,5,2-row,control,15
2018-03-13,03-13,1,2-row,manual,7
2018-03-13,03-13,2,2-row,manual,8
2018-03-13,03-13,3,2-row,manual,9
2018-03-13,03-13,4,2-row,manual,9
2018-03-13,03-13,5,2-row,manual,6
2018-03-13,03-13,1,2-row,twine,9
2018-03-13,03-13,2,2-row,twine,9
2018-03-13,03-13,3,2-row,twine,9
2018-03-13,03-13,4,2-row,twine,8
2018-03-13,03-13,5,2-row,twine,14
2018-03-13,03-13,1,3-row,blade,20
2018-03-13,03-13,2,3-row,blade,14
2018-03-13,03-13,3,3-row,blade,8
2018-03-13,03-13,4,3-row,blade,11
2018-03-13,03-13,5,3-row,blade,18
2018-03-13,03-13,1,3-row,control,.
2018-03-13,03-13,2,3-row,control,16
2018-03-13,03-13,3,3-row,control,6
2018-03-13,03-13,4,3-row,control,.
2018-03-13,03-13,5,3-row,control,20
2018-03-13,03-13,1,3-row,manual,22
2018-03-13,03-13,2,3-row,manual,23
2018-03-13,03-13,3,3-row,manual,14
2018-03-13,03-13,4,3-row,manual,3
2018-03-13,03-13,5,3-row,manual,19
2018-03-13,03-13,1,3-row,twine,34
2018-03-13,03-13,2,3-row,twine,13
2018-03-13,03-13,3,3-row,twine,13
2018-03-13,03-13,4,3-row,twine,11
2018-03-13,03-13,5,3-row,twine,22
2018-04-11,04-11,1,2-row,blade,47
2018-04-11,04-11,2,2-row,blade,35
2018-04-11,04-11,3,2-row,blade,38
2018-04-11,04-11,4,2-row,blade,46
2018-04-11,04-11,5,2-row,blade,38
2018-04-11,04-11,1,2-row,control,44
2018-04-11,04-11,2,2-row,control,.
2018-04-11,04-11,3,2-row,control,56
2018-04-11,04-11,4,2-row,control,52
2018-04-11,04-11,5,2-row,control,81
2018-04-11,04-11,1,2-row,manual,43
2018-04-11,04-11,2,2-row,manual,45
2018-04-11,04-11,3,2-row,manual,39
2018-04-11,04-11,4,2-row,manual,56
2018-04-11,04-11,5,2-row,manual,45
2018-04-11,04-11,1,2-row,twine,37
2018-04-11,04-11,2,2-row,twine,48
2018-04-11,04-11,3,2-row,twine,40
2018-04-11,04-11,4,2-row,twine,40
2018-04-11,04-11,5,2-row,twine,57
2018-04-11,04-11,1,3-row,blade,67
2018-04-11,04-11,2,3-row,blade,56
2018-04-11,04-11,3,3-row,blade,62
2018-04-11,04-11,4,3-row,blade,61
2018-04-11,04-11,5,3-row,blade,70
2018-04-11,04-11,1,3-row,control,.
2018-04-11,04-11,2,3-row,control,86
2018-04-11,04-11,3,3-row,control,60
2018-04-11,04-11,4,3-row,control,.
2018-04-11,04-11,5,3-row,control,69
2018-04-11,04-11,1,3-row,manual,68
2018-04-11,04-11,2,3-row,manual,63
2018-04-11,04-11,3,3-row,manual,47
2018-04-11,04-11,4,3-row,manual,26
2018-04-11,04-11,5,3-row,manual,78
2018-04-11,04-11,1,3-row,twine,75
2018-04-11,04-11,2,3-row,twine,46
2018-04-11,04-11,3,3-row,twine,53
2018-04-11,04-11,4,3-row,twine,36
2018-04-11,04-11,5,3-row,twine,76
