date,block,tunnel,trt,cane,n_lesions,lesion_length_1,lesion_length_2,lesion_length_3,lesion_length_4,lesion_length_5,status,notes
2018-02-13,1,2-row,blade,1,1,8.25,no lesion,no lesion,no lesion,no lesion,,bent cane
2018-03-13,1,2-row,blade,1,1,11.25,no lesion,no lesion,no lesion,no lesion,,sporulating on lesion
2018-04-11,1,2-row,blade,1,1,13,no lesion,no lesion,no lesion,no lesion,,broken cane
2018-02-13,1,2-row,blade,2,1,6.125,no lesion,no lesion,no lesion,no lesion,,
2018-03-13,1,2-row,blade,2,1,6.25,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,1,2-row,blade,2,1,7.5,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,1,2-row,blade,3,1,0.5,no lesion,no lesion,no lesion,no lesion,,
2018-03-13,1,2-row,blade,3,1,0.5,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,1,2-row,blade,3,1,0.5,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,1,2-row,blade,4,1,0.375,lesion later,no lesion,no lesion,no lesion,,
2018-03-13,1,2-row,blade,4,1,0.5,lesion later,no lesion,no lesion,no lesion,,
2018-04-11,1,2-row,blade,4,2,2.5,4.5,no lesion,no lesion,no lesion,,
2018-02-13,1,2-row,blade,5,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,1,2-row,blade,5,1,0.5,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,1,2-row,blade,5,1,4.75,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,1,2-row,blade,6,1,0.375,no lesion,no lesion,no lesion,no lesion,,
2018-03-13,1,2-row,blade,6,1,0.5,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,1,2-row,blade,6,1,33,no lesion,no lesion,no lesion,no lesion,merged with ground lesion,merged with the ground lesion
2018-02-13,1,2-row,blade,7,1,1.5,no lesion,no lesion,no lesion,no lesion,,
2018-03-13,1,2-row,blade,7,1,1.5,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,1,2-row,blade,7,1,20.25,no lesion,no lesion,no lesion,no lesion,merged with ground lesion,merged with the ground lesion
2018-02-13,1,2-row,blade,8,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,1,2-row,blade,8,1,2,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,1,2-row,blade,8,1,10.5,no lesion,no lesion,no lesion,no lesion,merged with ground lesion,merged with the ground lesion
2018-02-13,1,2-row,blade,9,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,1,2-row,blade,9,1,8,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,1,2-row,blade,9,1,34,no lesion,no lesion,no lesion,no lesion,merged with ground lesion,merged with the ground lesion
2018-02-13,1,2-row,blade,10,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,1,2-row,blade,10,1,0.25,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,1,2-row,blade,10,.,.,no lesion,no lesion,no lesion,no lesion,tag missing,cant find tag
2018-02-13,2,2-row,blade,1,1,0.25,no lesion,no lesion,no lesion,no lesion,,
2018-03-13,2,2-row,blade,1,1,0.875,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,2,2-row,blade,1,1,14,no lesion,no lesion,no lesion,no lesion,merged with ground lesion,merged with the ground lesion
2018-02-13,2,2-row,blade,2,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,2,2-row,blade,2,1,1.0625,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,2,2-row,blade,2,1,9,no lesion,no lesion,no lesion,no lesion,merged with ground lesion,merged with the ground lesion
2018-02-13,2,2-row,blade,3,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,2,2-row,blade,3,1,0.25,no lesion,no lesion,no lesion,no lesion,,
2018-04-11,2,2-row,blade,3,1,9.5,no lesion,no lesion,no lesion,no lesion,merged with ground lesion,merged with the ground lesion
2018-02-13,2,2-row,blade,4,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,2,2-row,blade,4,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-04-11,2,2-row,blade,4,1,3.5,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,2,2-row,blade,5,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-03-13,2,2-row,blade,5,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now yes later,
2018-04-11,2,2-row,blade,5,1,3,no lesion,no lesion,no lesion,no lesion,,
2018-02-13,2,2-row,blade,6,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now above twine later,
2018-03-13,2,2-row,blade,6,1,2,no lesion,no lesion,no lesion,no lesion,above twine,between twine 1 and 2
2018-04-11,2,2-row,blade,6,1,39,no lesion,no lesion,no lesion,no lesion,above twine,lesions merged together
2018-02-13,2,2-row,blade,7,0,lesion later,no lesion,no lesion,no lesion,no lesion,no data now above twine later,
