date,block,tunnel,trt,canes,east,west
10/17/18,1,3-row,manual,65,30,35
10/17/18,1,3-row,control,58,32,26
10/17/18,1,3-row,twine,67,41,26
10/17/18,1,3-row,blade,52,27,25
10/17/18,2,3-row,twine,45,24,21
10/17/18,2,3-row,blade,69,39,30
10/17/18,2,3-row,control,48,27,21
10/17/18,2,3-row,manual,49,25,24
10/17/18,3,3-row,control,57,34,23
10/17/18,3,3-row,manual,58,33,25
10/17/18,3,3-row,blade,65,35,30
10/17/18,3,3-row,twine,71,32,39
10/17/18,4,3-row,control,49,18,31
10/17/18,4,3-row,manual,50,17,33
10/17/18,4,3-row,twine,58,17,41
10/17/18,4,3-row,blade,50,17,33
10/17/18,5,3-row,twine,36,17,19
10/17/18,5,3-row,control,76,35,41
10/17/18,5,3-row,blade,54,25,29
10/17/18,5,3-row,manual,33,23,10
