date,block,tunnel,trt,receps_cane_1,receps_cane_2,receps_cane_3,receps_cane_4,receps_cane_5,receps_cane_6,receps_cane_7,receps_cane_8,receps_cane_9,receps_cane_10
2018-12-19,1,3-row,manual,43,68,92,88,95,59,62,61,20,29
2018-12-19,1,3-row,control,70,86,104,68,78,38,53,76,65,66
2018-12-19,1,3-row,twine,57,33,12,44,79,71,58,52,48,42
2018-12-19,1,3-row,blade,76,91,51,45,90,95,121,52,75,46
2018-12-19,2,3-row,twine,78,30,154,60,38,67,33,28,74,101
2018-12-19,2,3-row,blade,21,36,15,9,37,80,30,10,20,12
2018-12-19,2,3-row,control,18,69,50,89,16,84,19,17,28,23
2018-12-19,2,3-row,manual,0,31,32,90,4,58,0,78,79,31
2018-12-19,3,3-row,control,44,55,54,23,78,57,31,42,85,47
2018-12-19,3,3-row,manual,82,94,49,66,7,92,93,88,49,100
2018-12-19,3,3-row,blade,61,74,41,74,5,42,49,29,62,42
2018-12-19,3,3-row,twine,58,84,43,82,70,20,70,54,24,10
2018-12-19,4,3-row,control,134,26,36,66,44,78,92,117,29,116
2018-12-19,4,3-row,manual,55,62,44,42,95,91,81,40,74,44
2018-12-19,4,3-row,twine,116,98,96,64,8,51,71,37,77,57
2018-12-19,4,3-row,blade,77,54,29,49,39,89,25,127,55,23
2018-12-19,5,3-row,twine,71,47,10,72,48,74,99,66,57,73
2018-12-19,5,3-row,control,70,49,96,91,104,43,77,64,74,35
2018-12-19,5,3-row,blade,95,136,110,67,134,51,73,42,63,60
2018-12-19,5,3-row,manual,146,82,132,71,153,99,253,158,45,184
