Sensor Name,Sensor ID,Duration (or until memory fills),Rec interval,Statistics logging,Sampling interval,Treatment,rows,block
1,20278289,4.5 months,10 min,Average,30s,blade,3,1
2,20278284,4.5 months,10 min,Average,30s,manual,3,1
3,20278283,4.5 months,10 min,Average,30s,twine,3,1
4,20278281,4.5 months,10 min,Average,30s,control,3,1
5,20278282,4.5 months,10 min,Average,30s,twine,3,2
6,20278279,4.5 months,10 min,Average,30s,control,3,2
7,20278300,4.5 months,10 min,Average,30s,manual,3,2
8,20278301,4.5 months,10 min,Average,30s,blade,3,2
9,20278299,4.5 months,10 min,Average,30s,control,3,3
10,20278296,4.5 months,10 min,Average,30s,twine,3,3
11,20278297,4.5 months,10 min,Average,30s,blade,3,3
12,20278298,4.5 months,10 min,Average,30s,manual,3,3
13,20278292,4.5 months,10 min,Average,30s,manual,3,4
14,20278293,4.5 months,10 min,Average,30s,blade,3,4
15,20278294,4.5 months,10 min,Average,30s,twine,3,4
16,20278295,4.5 months,10 min,Average,30s,control,3,5
17,20278291,4.5 months,10 min,Average,30s,manual,3,5
18,20278290,4.5 months,10 min,Average,30s,blade,3,5
19,20278309,4.5 months,10 min,Average,30s,twine,3,5
20,20278277,4.5 months,10 min,Average,30s,control,3,4
21,20278275,4.5 months,10 min,Average,30s,twine,2,1
22,20278276,4.5 months,10 min,Average,30s,manual,2,1
23,20278273,4.5 months,10 min,Average,30s,control,2,1
24,20278274,4.5 months,10 min,Average,30s,blade,2,1
25,20278271,4.5 months,10 min,Average,30s,blade,2,2
26,20278272,4.5 months,10 min,Average,30s,twine,2,2
27,20278280,4.5 months,10 min,Average,30s,manual,2,2
28,20278278,4.5 months,10 min,Average,30s,control,2,2
29,20278288,4.5 months,10 min,Average,30s,manual,2,3
30,20278285,4.5 months,10 min,Average,30s,control,2,3
31,20278287,4.5 months,10 min,Average,30s,blade,2,3
32,20278286,4.5 months,10 min,Average,30s,twine,2,3
33,20278305,4.5 months,10 min,Average,30s,blade,2,4
34,20278306,4.5 months,10 min,Average,30s,manual,2,4
35,20278307,4.5 months,10 min,Average,30s,twine,2,4
36,20278308,4.5 months,10 min,Average,30s,control,2,4
37,20278310,4.5 months,10 min,Average,30s,blade,2,5
38,20278302,4.5 months,10 min,Average,30s,manual,2,5
39,20278303,4.5 months,10 min,Average,30s,control,2,5
40,20278304,4.5 months,10 min,Average,30s,twine,2,5
