#,"Date Time, GMT -0700","Temp, °F","RH, %","DewPt, °F"
4,2018-09-25 10:59:00,70.22,67.15,58.85
5,2018-09-25 11:09:00,69.60,68.38,58.77
6,2018-09-25 11:19:00,69.99,69.42,59.56
7,2018-09-25 11:29:00,71.07,67.72,59.89
8,2018-09-25 11:39:00,72.15,68.26,61.15
9,2018-09-25 11:49:00,73.39,66.48,61.58
10,2018-09-25 11:59:00,73.93,64.39,61.19
11,2018-09-25 12:09:00,74.70,63.27,61.42
12,2018-09-25 12:19:00,75.01,63.76,61.93
13,2018-09-25 12:29:00,75.16,63.54,61.99
14,2018-09-25 12:39:00,74.54,63.97,61.59
15,2018-09-25 12:49:00,74.47,65.88,62.35
16,2018-09-25 12:59:00,75.86,62.63,62.23
17,2018-09-25 13:09:00,74.78,62.05,60.95
18,2018-09-25 13:19:00,74.78,61.56,60.72
19,2018-09-25 13:29:00,75.39,63.09,62.00
20,2018-09-25 13:39:00,75.78,62.87,62.27
21,2018-09-25 13:49:00,75.70,62.63,62.08
22,2018-09-25 13:59:00,75.78,60.91,61.37
23,2018-09-25 14:09:00,75.62,59.68,60.65
24,2018-09-25 14:19:00,75.24,61.10,60.95
25,2018-09-25 14:29:00,75.55,60.14,60.79
26,2018-09-25 14:39:00,76.17,59.46,61.05
27,2018-09-25 14:49:00,75.32,61.86,61.37
28,2018-09-25 14:59:00,74.93,61.31,60.75
29,2018-09-25 15:09:00,74.93,61.80,60.98
30,2018-09-25 15:19:00,74.54,61.52,60.49
31,2018-09-25 15:29:00,75.01,62.81,61.51
32,2018-09-25 15:39:00,74.85,62.29,61.13
33,2018-09-25 15:49:00,74.62,62.75,61.12
34,2018-09-25 15:59:00,74.31,62.26,60.61
35,2018-09-25 16:09:00,73.54,63.15,60.27
36,2018-09-25 16:19:00,72.84,65.00,60.43
37,2018-09-25 16:29:00,72.38,64.49,59.77
38,2018-09-25 16:39:00,71.84,64.21,59.14
