#,"Date Time, GMT -0700","Temp, °F","Temp - Avg, °F","RH, %","RH - Avg, %","DewPt, °F"
1,2018-09-25 11:00:00,70.99,70.99,69.96,69.96,60.74
2,2018-09-25 11:10:00,70.99,71.07,68.59,69.12,60.18
3,2018-09-25 11:20:00,71.53,71.07,67.75,69.48,60.35
4,2018-09-25 11:30:00,72.84,71.61,67.90,68.29,61.66
5,2018-09-25 11:40:00,74.23,73.46,65.15,64.91,61.82
6,2018-09-25 11:50:00,76.40,74.93,61.46,63.66,62.21
7,2018-09-25 12:00:00,76.71,76.47,60.51,60.36,62.05
8,2018-09-25 12:10:00,78.64,77.17,60.66,58.94,63.94
9,2018-09-25 12:20:00,79.49,79.18,57.23,56.48,63.07
10,2018-09-25 12:30:00,78.17,79.33,62.11,56.61,64.18
11,2018-09-25 12:40:00,77.48,78.25,59.34,57.79,62.22
12,2018-09-25 12:50:00,77.94,77.63,57.85,58.44,61.94
13,2018-09-25 13:00:00,78.40,78.25,56.67,57.29,61.79
14,2018-09-25 13:10:00,76.78,77.79,58.50,57.70,61.17
15,2018-09-25 13:20:00,77.79,76.86,58.13,59.03,61.93
16,2018-09-25 13:30:00,79.25,77.86,56.48,58.26,62.48
17,2018-09-25 13:40:00,79.10,79.25,55.95,56.51,62.07
18,2018-09-25 13:50:00,78.48,78.87,55.92,56.26,61.48
19,2018-09-25 14:00:00,78.48,78.40,54.89,56.39,60.95
20,2018-09-25 14:10:00,78.25,78.40,57.17,56.33,61.89
21,2018-09-25 14:20:00,78.79,78.25,54.70,56.23,61.14
22,2018-09-25 14:30:00,78.95,78.79,54.70,55.54,61.29
23,2018-09-25 14:40:00,79.64,78.95,53.25,55.83,61.17
24,2018-09-25 14:50:00,78.95,79.49,55.17,54.67,61.53
25,2018-09-25 15:00:00,78.02,78.95,57.35,55.26,61.77
26,2018-09-25 15:10:00,77.86,78.02,57.14,56.64,61.51
27,2018-09-25 15:20:00,77.09,77.86,59.31,57.07,61.85
28,2018-09-25 15:30:00,76.94,77.09,61.74,59.25,62.84
29,2018-09-25 15:40:00,76.94,77.01,58.78,59.74,61.45
