#,"Date Time, GMT -0700","Temp, °F","Temp - Avg, °F","RH, %","RH - Avg, %","DewPt, °F"
1,2018-09-25 11:00:00,70.53,70.53,69.33,69.33,60.04
2,2018-09-25 11:10:00,70.45,70.61,69.33,68.77,59.97
3,2018-09-25 11:20:00,71.07,70.45,69.45,70.08,60.61
4,2018-09-25 11:30:00,72.15,71.07,69.21,68.89,61.54
5,2018-09-25 11:40:00,73.31,72.38,65.79,67.42,61.21
6,2018-09-25 11:50:00,75.01,73.62,64.00,65.82,62.04
7,2018-09-25 12:00:00,75.24,75.16,62.57,63.09,61.62
8,2018-09-25 12:10:00,76.09,75.32,61.68,62.32,62.02
9,2018-09-25 12:20:00,76.40,76.40,63.42,60.91,63.10
10,2018-09-25 12:30:00,76.32,76.47,61.92,60.17,62.35
11,2018-09-25 12:40:00,76.17,76.32,60.70,61.25,61.63
12,2018-09-25 12:50:00,76.47,76.24,59.99,60.88,61.59
13,2018-09-25 13:00:00,77.25,76.47,60.30,60.26,62.46
14,2018-09-25 13:10:00,75.86,76.78,60.91,59.68,61.44
15,2018-09-25 13:20:00,76.40,75.93,60.73,60.82,61.87
16,2018-09-25 13:30:00,77.63,76.55,58.35,60.20,61.89
17,2018-09-25 13:40:00,78.02,77.71,60.85,58.75,63.45
18,2018-09-25 13:50:00,77.25,77.94,59.06,57.94,61.87
19,2018-09-25 14:00:00,77.48,77.25,57.35,58.32,61.26
20,2018-09-25 14:10:00,77.01,77.40,59.31,58.35,61.78
21,2018-09-25 14:20:00,77.32,77.17,58.04,58.87,61.45
22,2018-09-25 14:30:00,76.94,77.25,58.78,58.32,61.45
23,2018-09-25 14:40:00,77.79,77.09,57.14,59.00,61.44
24,2018-09-25 14:50:00,77.56,77.71,57.82,58.26,61.56
25,2018-09-25 15:00:00,76.63,77.56,60.23,57.42,61.85
26,2018-09-25 15:10:00,76.71,76.63,59.77,58.72,61.71
27,2018-09-25 15:20:00,76.47,76.71,60.73,58.91,61.94
28,2018-09-25 15:30:00,76.47,76.40,61.95,60.17,62.51
29,2018-09-25 15:40:00,76.71,76.63,59.77,60.51,61.71
30,2018-09-25 15:50:00,76.32,76.55,59.00,59.77,60.98
31,2018-09-25 16:00:00,75.86,76.32,59.68,59.89,60.86
32,2018-09-25 16:10:00,75.08,75.78,60.36,60.42,60.46
33,2018-09-25 16:20:00,74.31,74.93,62.72,61.52,60.81
34,2018-09-25 16:30:00,73.69,74.31,63.39,61.95,60.53
35,2018-09-25 16:40:00,73.23,73.62,63.12,62.99,59.97
36,2018-09-25 16:50:00,72.84,73.23,64.06,63.88,60.02
37,2018-09-25 17:00:00,72.38,72.84,64.97,64.52,59.98
38,2018-09-25 17:10:00,71.45,72.46,65.85,65.24,59.48
39,2018-09-25 17:20:00,70.68,71.38,67.00,66.81,59.23
40,2018-09-25 17:30:00,70.14,70.76,68.89,68.02,59.49
41,2018-09-25 17:40:00,69.37,70.06,68.98,68.80,58.79
42,2018-09-25 17:50:00,68.75,69.37,69.75,69.78,58.51
43,2018-09-25 18:00:00,67.67,68.52,72.48,71.24,58.54
