#,"Date Time, GMT -0700","Temp, °F","Temp - Avg, °F","RH, %","RH - Avg, %","DewPt, °F"
15853,2018-09-25 11:00:00,69.45,69.60,69.69,69.87,59.15
15854,2018-09-25 11:10:00,69.68,69.52,71.80,70.14,60.21
15855,2018-09-25 11:20:00,69.83,69.68,71.24,70.73,60.14
15856,2018-09-25 11:30:00,71.15,69.99,70.56,70.91,61.12
15857,2018-09-25 11:40:00,71.92,71.30,67.66,68.80,60.68
15858,2018-09-25 11:50:00,73.00,71.92,68.32,68.32,61.99
15859,2018-09-25 12:00:00,73.54,73.15,65.79,66.39,61.43
15860,2018-09-25 12:10:00,74.00,73.54,64.88,64.94,61.48
15861,2018-09-25 12:20:00,74.31,74.23,63.70,63.79,61.25
15862,2018-09-25 12:30:00,74.00,74.23,64.88,63.51,61.48
15863,2018-09-25 12:40:00,74.39,74.08,64.18,64.18,61.54
15864,2018-09-25 12:50:00,74.39,74.39,62.26,63.27,60.68
15865,2018-09-25 13:00:00,74.93,74.39,65.21,62.96,62.50
15866,2018-09-25 13:10:00,74.62,75.01,63.73,62.93,61.56
15867,2018-09-25 13:20:00,74.78,74.54,63.51,63.05,61.61
15868,2018-09-25 13:30:00,75.55,74.85,62.84,62.99,62.04
15869,2018-09-25 13:40:00,76.24,75.70,59.96,61.56,61.36
15870,2018-09-25 13:50:00,76.01,76.24,58.19,60.94,60.30
15871,2018-09-25 14:00:00,75.93,75.86,60.42,61.00,61.29
15872,2018-09-25 14:10:00,75.24,75.93,61.10,59.89,60.95
15873,2018-09-25 14:20:00,75.39,75.24,59.15,60.88,60.18
15874,2018-09-25 14:30:00,75.32,75.32,61.86,60.66,61.37
15875,2018-09-25 14:40:00,76.09,75.39,60.20,60.94,61.33
15876,2018-09-25 14:50:00,75.32,75.93,60.88,59.65,60.92
15877,2018-09-25 15:00:00,75.08,75.24,61.10,60.42,60.80
15878,2018-09-25 15:10:00,75.47,75.08,62.35,61.19,61.74
15879,2018-09-25 15:20:00,75.39,75.55,61.13,60.94,61.11
15880,2018-09-25 15:30:00,75.32,75.39,62.11,61.83,61.48
15881,2018-09-25 15:40:00,75.47,75.32,61.13,62.84,61.18
15882,2018-09-25 15:50:00,75.16,75.39,61.59,61.83,61.10
15883,2018-09-25 16:00:00,74.47,75.16,62.02,61.77,60.64
15884,2018-09-25 16:10:00,73.77,74.47,63.18,62.17,60.51
15885,2018-09-25 16:20:00,73.31,73.77,63.36,63.05,60.15
15886,2018-09-25 16:30:00,72.84,73.15,62.60,63.60,59.37
15887,2018-09-25 16:40:00,72.46,72.84,63.79,64.03,59.54
15888,2018-09-25 16:50:00,71.84,72.46,64.91,64.73,59.44
