experiment,block,trt,cane
A-2-row,1,control,5
A-2-row,1,control,6
A-2-row,1,blade,10
A-2-row,1,twine,9
A-2-row,1,manual,10
A-2-row,2,blade,6
A-2-row,2,blade,7
A-2-row,2,twine,10
A-2-row,2,manual,5
A-2-row,3,manual,7
A-2-row,3,manual,8
A-2-row,4,twine,8
A-2-row,4,control,6
A-2-row,4,blade,8
A-2-row,4,blade,9
A-2-row,4,blade,10
A-2-row,5,control,10
A-2-row,5,blade,9
B-3-row,2,twine,10
B-3-row,3,control,1
B-3-row,3,control,2
B-3-row,3,twine,8
B-3-row,3,twine,9
B-3-row,3,twine,10
B-3-row,3,manual,2
B-3-row,3,manual,3
B-3-row,3,manual,4
B-3-row,3,manual,7
B-3-row,3,blade,9
B-3-row,4,manual,6
B-3-row,4,manual,7
B-3-row,4,manual,8
B-3-row,4,manual,10
B-3-row,4,control,6
