date,block,tunnel,trt,cane,n_lesions,lesion_length_1(cm),lesion_length_2(cm),lesion_length_3(cm),status,notes
2018-10-17,1,3-row,blade,1,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,1,3-row,blade,1,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,1,3-row,blade,1,1,0.9525,no lesion,no lesion,,lesions look to have develop from petiole
2018-10-17,1,3-row,blade,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,1,3-row,blade,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,1,3-row,blade,2,1,1.11125,no lesion,no lesion,,lesions look to have develop from petiole
2018-10-17,1,3-row,blade,3,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,1,3-row,blade,3,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,1,3-row,blade,3,1,0.635,no lesion,no lesion,,lesions look to have develop from petiole
2018-10-17,1,3-row,blade,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,1,3-row,blade,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,1,3-row,blade,4,1,4.1275,no lesion,no lesion,,
2018-10-17,1,3-row,blade,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,1,3-row,blade,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,1,3-row,blade,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,1,3-row,blade,6,1,15.875,no lesion,no lesion,,
2018-11-07,1,3-row,blade,6,1,29.21,no lesion,no lesion,,
2018-11-28,1,3-row,blade,6,1,53.34,no lesion,no lesion,,
2018-10-17,1,3-row,blade,7,1,25.4,no lesion,no lesion,,
2018-11-07,1,3-row,blade,7,1,31.115,no lesion,no lesion,,
2018-11-28,1,3-row,blade,7,1,43.18,no lesion,no lesion,,
2018-10-17,1,3-row,blade,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,1,3-row,blade,8,1,10.795,no lesion,no lesion,,
2018-11-28,1,3-row,blade,8,1,30.48,no lesion,no lesion,,
2018-10-17,1,3-row,blade,9,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,1,3-row,blade,9,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,1,3-row,blade,9,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,1,3-row,blade,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,1,3-row,blade,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,1,3-row,blade,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,2,3-row,blade,1,1,4.445,no lesion,no lesion,,
2018-11-07,2,3-row,blade,1,1,20.32,no lesion,no lesion,,
2018-11-28,2,3-row,blade,1,1,26.67,no lesion,no lesion,,
2018-10-17,2,3-row,blade,2,0,lesion later,no lesion,no lesion,no data now yes later,
