Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Vap Pres (kPa),qc,Air Temp (C),qc,Rel Hum (%),qc,Dew Point (C),qc,Wind Speed (m/s),qc,Wind Dir (0-360),qc,Soil Temp (C),qc
152,Camarillo,Central Coast Valleys,11/4/2017,0100,308,0.00, ,0.00, ,0, ,1.4, ,12.6, ,97, ,12.0, ,0.9, ,27, ,16.5, 
152,Camarillo,Central Coast Valleys,11/4/2017,0200,308,0.00, ,0.00, ,0, ,1.4, ,12.0, ,98, ,11.6, ,0.7, ,26, ,16.2, 
152,Camarillo,Central Coast Valleys,11/4/2017,0300,308,0.00, ,0.00, ,0, ,1.3, ,11.5, ,98, ,11.2, ,0.7, ,20, ,15.8, 
152,Camarillo,Central Coast Valleys,11/4/2017,0400,308,0.00, ,0.00, ,0, ,1.3, ,11.1, ,98, ,10.8, ,0.8, ,27, ,15.5, 
152,Camarillo,Central Coast Valleys,11/4/2017,0500,308,0.00, ,0.00, ,0, ,1.3, ,10.6, ,98, ,10.3, ,0.8, ,38, ,15.2, 
152,Camarillo,Central Coast Valleys,11/4/2017,0600,308,0.00, ,0.00, ,0, ,1.2, ,10.2, ,98, ,9.9, ,0.8, ,49, ,14.9, 
152,Camarillo,Central Coast Valleys,11/4/2017,0700,308,0.00, ,0.00, ,17, ,1.2, ,9.9, ,98, ,9.6, ,0.7, ,31, ,14.6, 
152,Camarillo,Central Coast Valleys,11/4/2017,0800,308,0.00, ,0.00, ,45, ,1.3, ,11.4, ,96, ,10.7, ,1.4, ,26, ,14.4, 
152,Camarillo,Central Coast Valleys,11/4/2017,0900,308,0.12, ,0.00, ,283, ,1.5, ,14.1, ,91, ,12.7, ,1.2, ,59, ,14.3, 
152,Camarillo,Central Coast Valleys,11/4/2017,1000,308,0.25, ,0.00, ,460, ,1.5, ,17.2, ,78, ,13.4, ,1.9, ,184, ,14.7, 
152,Camarillo,Central Coast Valleys,11/4/2017,1100,308,0.34, ,0.00, ,551, ,1.5, ,19.0, ,68, ,13.0, ,2.3, ,200, ,15.6, 
152,Camarillo,Central Coast Valleys,11/4/2017,1200,308,0.38, ,0.00, ,579, ,1.4, ,20.1, ,60, ,12.2, ,2.7, ,217, ,16.8, 
152,Camarillo,Central Coast Valleys,11/4/2017,1300,308,0.38, ,0.00, ,561, ,1.4, ,20.3, ,58, ,11.6, ,3.3, ,227, ,17.8, 
152,Camarillo,Central Coast Valleys,11/4/2017,1400,308,0.33, ,0.00, ,482, ,1.4, ,20.5, ,57, ,11.6, ,3.1, ,214, ,18.5, 
152,Camarillo,Central Coast Valleys,11/4/2017,1500,308,0.24, ,0.00, ,355, ,1.4, ,20.2, ,58, ,11.7, ,3.3, ,225, ,19.0, 
152,Camarillo,Central Coast Valleys,11/4/2017,1600,308,0.10, ,0.00, ,153, ,1.4, ,19.1, ,64, ,12.0, ,2.9, ,217, ,19.2, 
152,Camarillo,Central Coast Valleys,11/4/2017,1700,308,0.03, ,0.00, ,18, ,1.5, ,18.1, ,70, ,12.5, ,2.1, ,212, ,18.9, 
152,Camarillo,Central Coast Valleys,11/4/2017,1800,308,0.01, ,0.00, ,0, ,1.6, ,17.0, ,80, ,13.5, ,2.2, ,203, ,18.4, 
152,Camarillo,Central Coast Valleys,11/4/2017,1900,308,0.00, ,0.00, ,0, ,1.6, ,16.8, ,85, ,14.2, ,2.2, ,200, ,17.9, 
152,Camarillo,Central Coast Valleys,11/4/2017,2000,308,0.00, ,0.00, ,0, ,1.6, ,16.6, ,87, ,14.4, ,1.6, ,180, ,17.5, 
152,Camarillo,Central Coast Valleys,11/4/2017,2100,308,0.00, ,0.00, ,0, ,1.6, ,16.6, ,87, ,14.4, ,1.7, ,197, ,17.1, 
152,Camarillo,Central Coast Valleys,11/4/2017,2200,308,0.00, ,0.00, ,0, ,1.7, ,16.9, ,86, ,14.5, ,1.8, ,190, ,16.9, 
152,Camarillo,Central Coast Valleys,11/4/2017,2300,308,0.00, ,0.00, ,0, ,1.7, ,16.6, ,88, ,14.6, ,1.5, ,201, ,16.7, 
152,Camarillo,Central Coast Valleys,11/4/2017,2400,308,0.00, ,0.00, ,0, ,1.7, ,16.4, ,90, ,14.8, ,1.2, ,201, ,16.6, 
152,Camarillo,Central Coast Valleys,11/5/2017,0100,309,0.00, ,0.00, ,0, ,1.6, ,16.4, ,87, ,14.3, ,0.9, ,205, ,16.6, 
152,Camarillo,Central Coast Valleys,11/5/2017,0200,309,0.00, ,0.00, ,0, ,1.6, ,16.0, ,89, ,14.2, ,1.5, ,192, ,16.5, 
152,Camarillo,Central Coast Valleys,11/5/2017,0300,309,0.00, ,0.00, ,0, ,1.7, ,15.6, ,93, ,14.5, ,1.2, ,188, ,16.4, 
152,Camarillo,Central Coast Valleys,11/5/2017,0400,309,0.00, ,0.00, ,0, ,1.6, ,15.8, ,91, ,14.4, ,0.9, ,195, ,16.4, 
152,Camarillo,Central Coast Valleys,11/5/2017,0500,309,0.00, ,0.00, ,0, ,1.6, ,15.6, ,91, ,14.1, ,0.7, ,181, ,16.3, 
152,Camarillo,Central Coast Valleys,11/5/2017,0600,309,0.00, ,0.00, ,0, ,1.6, ,15.8, ,90, ,14.1, ,0.8, ,173, ,16.2, 
152,Camarillo,Central Coast Valleys,11/5/2017,0700,309,0.00, ,0.00, ,10, ,1.6, ,15.9, ,89, ,14.1, ,1.1, ,195, ,16.2, 
152,Camarillo,Central Coast Valleys,11/5/2017,0800,309,0.01, ,0.00, ,50, ,1.6, ,16.1, ,89, ,14.2, ,1.0, ,197, ,16.1, 
152,Camarillo,Central Coast Valleys,11/5/2017,0900,309,0.06, ,0.00, ,160, ,1.6, ,16.3, ,88, ,14.3, ,1.9, ,190, ,16.2, 
152,Camarillo,Central Coast Valleys,11/5/2017,1000,309,0.26, ,0.00, ,471, ,1.6, ,18.1, ,76, ,13.8, ,2.0, ,185, ,16.4, 
152,Camarillo,Central Coast Valleys,11/5/2017,1100,309,0.36, ,0.00, ,605, ,1.5, ,19.0, ,70, ,13.4, ,2.1, ,199, ,17.1, 
152,Camarillo,Central Coast Valleys,11/5/2017,1200,309,0.37, ,0.00, ,583, ,1.5, ,19.9, ,65, ,13.1, ,2.2, ,217, ,18.1, 
152,Camarillo,Central Coast Valleys,11/5/2017,1300,309,0.36, ,0.00, ,561, ,1.5, ,19.9, ,63, ,12.8, ,2.6, ,211, ,19.0, 
152,Camarillo,Central Coast Valleys,11/5/2017,1400,309,0.31, ,0.00, ,479, ,1.4, ,19.6, ,61, ,11.9, ,3.1, ,204, ,19.6, 
152,Camarillo,Central Coast Valleys,11/5/2017,1500,309,0.24, ,0.00, ,367, ,1.3, ,19.5, ,57, ,10.9, ,2.8, ,200, ,20.0, 
152,Camarillo,Central Coast Valleys,11/5/2017,1600,309,0.10, ,0.00, ,157, ,1.3, ,18.8, ,59, ,10.7, ,2.4, ,203, ,20.1, 
152,Camarillo,Central Coast Valleys,11/5/2017,1700,309,0.04, ,0.00, ,18, ,1.2, ,17.7, ,60, ,9.8, ,2.0, ,205, ,19.8, 
152,Camarillo,Central Coast Valleys,11/5/2017,1800,309,0.01, ,0.00, ,0, ,1.2, ,16.2, ,67, ,10.2, ,1.3, ,184, ,19.1, 
152,Camarillo,Central Coast Valleys,11/5/2017,1900,309,0.01, ,0.00, ,0, ,1.2, ,15.0, ,71, ,9.8, ,0.8, ,185, ,18.5, 
152,Camarillo,Central Coast Valleys,11/5/2017,2000,309,0.00, ,0.00, ,0, ,1.3, ,14.6, ,77, ,10.6, ,0.8, ,184, ,17.9, 
152,Camarillo,Central Coast Valleys,11/5/2017,2100,309,0.00, ,0.00, ,0, ,1.3, ,13.0, ,84, ,10.3, ,0.7, ,10, ,17.4, 
152,Camarillo,Central Coast Valleys,11/5/2017,2200,309,0.00, ,0.00, ,0, ,1.2, ,11.9, ,87, ,9.8, ,0.7, ,37, ,16.9, 
152,Camarillo,Central Coast Valleys,11/5/2017,2300,309,0.00, ,0.00, ,0, ,1.2, ,10.9, ,93, ,9.7, ,0.9, ,34, ,16.5, 
152,Camarillo,Central Coast Valleys,11/5/2017,2400,309,0.00, ,0.00, ,0, ,1.2, ,10.3, ,96, ,9.6, ,0.7, ,31, ,16.1, 
152,Camarillo,Central Coast Valleys,11/6/2017,0100,310,0.00, ,0.00, ,0, ,1.2, ,10.5, ,95, ,9.7, ,1.0, ,20, ,15.8, 
152,Camarillo,Central Coast Valleys,11/6/2017,0200,310,0.00, ,0.00, ,0, ,1.2, ,10.6, ,95, ,9.9, ,0.9, ,33, ,15.5, 
152,Camarillo,Central Coast Valleys,11/6/2017,0300,310,0.00, ,0.00, ,0, ,1.2, ,10.4, ,96, ,9.9, ,0.7, ,28, ,15.3, 
152,Camarillo,Central Coast Valleys,11/6/2017,0400,310,0.00, ,0.00, ,0, ,1.2, ,10.6, ,96, ,9.9, ,0.7, ,32, ,15.1, 
152,Camarillo,Central Coast Valleys,11/6/2017,0500,310,0.00, ,0.00, ,0, ,1.2, ,10.6, ,96, ,9.9, ,0.6, ,40, ,15.0, 
152,Camarillo,Central Coast Valleys,11/6/2017,0600,310,0.00, ,0.00, ,0, ,1.2, ,10.9, ,94, ,10.0, ,1.1, ,24, ,14.9, 
152,Camarillo,Central Coast Valleys,11/6/2017,0700,310,0.00, ,0.00, ,11, ,1.2, ,11.2, ,93, ,10.1, ,1.4, ,26, ,14.8, 
152,Camarillo,Central Coast Valleys,11/6/2017,0800,310,0.04, ,0.00, ,107, ,1.3, ,12.6, ,88, ,10.6, ,1.6, ,27, ,14.8, 
152,Camarillo,Central Coast Valleys,11/6/2017,0900,310,0.11, ,0.00, ,232, ,1.3, ,15.6, ,73, ,10.9, ,1.5, ,10, ,14.9, 
152,Camarillo,Central Coast Valleys,11/6/2017,1000,310,0.26, ,0.00, ,453, ,1.4, ,18.2, ,65, ,11.6, ,1.3, ,289, ,15.2, 
152,Camarillo,Central Coast Valleys,11/6/2017,1100,310,0.33, ,0.00, ,535, ,1.4, ,19.1, ,65, ,12.3, ,2.3, ,244, ,16.1, 
152,Camarillo,Central Coast Valleys,11/6/2017,1200,310,0.36, ,0.00, ,571, ,1.5, ,19.2, ,68, ,13.2, ,2.8, ,225, ,17.1, 
152,Camarillo,Central Coast Valleys,11/6/2017,1300,310,0.34, ,0.00, ,543, ,1.5, ,19.1, ,67, ,12.9, ,2.9, ,231, ,18.0, 
152,Camarillo,Central Coast Valleys,11/6/2017,1400,310,0.29, ,0.00, ,463, ,1.5, ,18.9, ,67, ,12.6, ,2.8, ,224, ,18.7, 
152,Camarillo,Central Coast Valleys,11/6/2017,1500,310,0.23, ,0.00, ,387, ,1.4, ,18.9, ,66, ,12.3, ,2.6, ,227, ,19.2, 
152,Camarillo,Central Coast Valleys,11/6/2017,1600,310,0.08, ,0.00, ,144, ,1.4, ,17.8, ,70, ,12.2, ,2.6, ,208, ,19.5, 
152,Camarillo,Central Coast Valleys,11/6/2017,1700,310,0.03, ,0.00, ,20, ,1.4, ,16.5, ,74, ,11.9, ,2.1, ,192, ,19.2, 
152,Camarillo,Central Coast Valleys,11/6/2017,1800,310,0.00, ,0.00, ,0, ,1.4, ,16.2, ,76, ,12.0, ,1.1, ,190, ,18.6, 
152,Camarillo,Central Coast Valleys,11/6/2017,1900,310,0.00, ,0.00, ,0, ,1.4, ,15.7, ,78, ,11.9, ,0.5, ,143, ,18.2, 
152,Camarillo,Central Coast Valleys,11/6/2017,2000,310,0.00, ,0.00, ,0, ,1.4, ,15.8, ,79, ,12.1, ,0.7, ,148, ,17.8, 
152,Camarillo,Central Coast Valleys,11/6/2017,2100,310,0.00, ,0.00, ,0, ,1.4, ,15.1, ,82, ,12.0, ,0.5, ,14, ,17.5, 
152,Camarillo,Central Coast Valleys,11/6/2017,2200,310,0.00, ,0.00, ,0, ,1.4, ,14.2, ,87, ,12.0, ,0.5, ,29, ,17.2, 
152,Camarillo,Central Coast Valleys,11/6/2017,2300,310,0.00, ,0.00, ,0, ,1.4, ,12.8, ,94, ,11.8, ,0.6, ,32, ,16.9, 
152,Camarillo,Central Coast Valleys,11/6/2017,2400,310,0.00, ,0.00, ,0, ,1.3, ,11.4, ,98, ,11.2, ,0.7, ,37, ,16.5, 
152,Camarillo,Central Coast Valleys,11/7/2017,0100,311,0.00, ,0.00, ,0, ,1.3, ,11.4, ,98, ,11.0, ,0.9, ,37, ,16.2, 
152,Camarillo,Central Coast Valleys,11/7/2017,0200,311,0.00, ,0.00, ,0, ,1.3, ,10.9, ,98, ,10.6, ,0.7, ,20, ,15.8, 
152,Camarillo,Central Coast Valleys,11/7/2017,0300,311,0.00, ,0.00, ,0, ,1.3, ,10.8, ,97, ,10.4, ,1.4, ,20, ,15.6, 
152,Camarillo,Central Coast Valleys,11/7/2017,0400,311,0.00, ,0.00, ,0, ,1.2, ,10.7, ,97, ,10.2, ,0.9, ,28, ,15.4, 
152,Camarillo,Central Coast Valleys,11/7/2017,0500,311,0.00, ,0.00, ,0, ,1.3, ,10.9, ,96, ,10.3, ,1.7, ,15, ,15.2, 
152,Camarillo,Central Coast Valleys,11/7/2017,0600,311,0.00, ,0.00, ,0, ,1.3, ,11.3, ,94, ,10.4, ,1.9, ,16, ,14.9, 
152,Camarillo,Central Coast Valleys,11/7/2017,0700,311,0.00, ,0.00, ,4, ,1.2, ,11.6, ,91, ,10.2, ,2.0, ,20, ,14.7, 
152,Camarillo,Central Coast Valleys,11/7/2017,0800,311,0.00, ,0.00, ,29, ,1.2, ,12.5, ,84, ,9.9, ,1.4, ,14, ,14.5, 
152,Camarillo,Central Coast Valleys,11/7/2017,0900,311,0.14, ,0.00, ,276, ,1.2, ,16.4, ,66, ,10.0, ,1.3, ,111, ,14.4, 
152,Camarillo,Central Coast Valleys,11/7/2017,1000,311,0.27, ,0.00, ,456, ,1.2, ,18.6, ,57, ,9.8, ,1.9, ,179, ,14.7, 
152,Camarillo,Central Coast Valleys,11/7/2017,1100,311,0.34, ,0.00, ,524, ,1.1, ,20.5, ,47, ,8.7, ,1.6, ,209, ,15.6, 
152,Camarillo,Central Coast Valleys,11/7/2017,1200,311,0.13, ,0.00, ,213, ,1.1, ,20.8, ,44, ,8.1, ,1.8, ,216, ,16.6, 
152,Camarillo,Central Coast Valleys,11/7/2017,1300,311,0.09, ,0.00, ,183, ,1.5, ,19.6, ,64, ,12.5, ,2.3, ,198, ,17.1, 
152,Camarillo,Central Coast Valleys,11/7/2017,1400,311,0.28, ,0.00, ,442, ,1.5, ,20.9, ,59, ,12.6, ,2.1, ,209, ,17.3, 
152,Camarillo,Central Coast Valleys,11/7/2017,1500,311,0.22, ,0.00, ,323, ,1.3, ,20.8, ,53, ,10.8, ,2.8, ,198, ,17.9, 
152,Camarillo,Central Coast Valleys,11/7/2017,1600,311,0.11, ,0.00, ,149, ,1.3, ,20.0, ,54, ,10.3, ,2.5, ,192, ,18.3, 
